Having run the script on the test database, let's see how it does with PRV's observations....

mysql> SELECT name, band, JD, unique_id, timeseries FROM temp_observations WHERE obscode="PRV" ORDER BY name, band, JD;
+-----------------------+------+---------------+------------+------------+
| name                  | band | JD            | unique_id  | timeseries |
| CH CYG                | 2    | 2457618.83817 | 1271205053 |       NULL |
| CH CYG                | 3    | 2457550.93507 | 1270665333 |       NULL |
| CH CYG                | 3    | 2457554.87917 | 1270697150 |       NULL |
| CH CYG                | 3    | 2457557.87953 | 1270697145 |       NULL |
| CH CYG                | 3    | 2457561.87964 | 1270708444 |       NULL |
| CH CYG                | 3    | 2457569.87875 | 1270756083 |       NULL |
| CH CYG                | 3    | 2457570.87950 | 1270778921 |       NULL |
| CH CYG                | 3    | 2457572.88016 | 1270778914 |       NULL |
| CH CYG                | 3    | 2457573.88034 | 1270778907 |       NULL |
| CH CYG                | 3    | 2457575.87921 | 1270812515 |       NULL |
| CH CYG                | 3    | 2457579.87981 | 1270824923 |       NULL |
| CH CYG                | 3    | 2457580.88333 | 1270829261 |       NULL |
| CH CYG                | 3    | 2457582.81691 | 1270896079 |       NULL |
| CH CYG                | 3    | 2457589.84802 | 1270935603 |       NULL |
| CH CYG                | 3    | 2457590.83760 | 1270935597 |       NULL |
| CH CYG                | 3    | 2457594.84351 | 1270968587 |       NULL |
| CH CYG                | 3    | 2457598.84060 | 1271014194 |       NULL |
| CH CYG                | 3    | 2457604.84131 | 1271169608 |       NULL |
| CH CYG                | 3    | 2457607.83837 | 1271169596 |       NULL |
| CH CYG                | 3    | 2457616.83832 | 1271208342 |       NULL |
| CH CYG                | 3    | 2457618.83882 | 1271205052 |       NULL |
| DD CYG                | 2    | 2456793.80242 | 1264623699 |       NULL |
| DD CYG                | 2    | 2456804.91909 | 1264657847 |       NULL |
| DD CYG                | 2    | 2456806.89744 | 1264665917 |       NULL |
| DD CYG                | 2    | 2456813.89722 | 1264697778 |       NULL |
| DD CYG                | 2    | 2456823.87257 | 1264729388 |       NULL |
| DD CYG                | 2    | 2456830.88138 | 1264765713 |       NULL |
